lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
4158830,TRASH1,309764,DTF,25,148,328030589,27020,1612129984,Wilderburg,9264906,328286279,266078336,31734406,18820467,11397380,10057521,927165723,2824,312669,242084,678,189627801,217114256,133170897,1078986220,302,5120711773,1205,187933,25958488669,26946285376,19952632952,19391576043,-,562824271,949995910,47062230,14174076,33775230
1368538,ˣˡˡˡNeHx,307133,-I-,25,167,198798480,27020,611966645,Wilderburg,13325569,208871029,139259992,31732531,18516747,9289210,3596982,528870514,78,247927,99662,96,44105542,79231708,16047830,245703787,13,850105484,182,87387,25999649161,25523178966,4508146279,12757391401,-,228532453,331515050,13462162,19124001,19261828
5471825,eKillBill,179684,OPB,25,172,165367556,27020,396179564,League of Order,4189862,165416836,107202193,31734406,18384487,8046470,924700,308742307,17,49888,122155,315,889307282,677614113,931624989,1300990845,874,313946480,73,64187,5847541247,5469802412,3171776459,3132546886,-,135263216,225239497,3100025,1719531,30805922
2307168,Stаnik,185887,DGEN,25,85,160064045,27020,403773425,Wilderburg,6721585,170452035,101302681,31734406,18820468,8206490,1823941,231594238,364,49215,105507,331,980530974,1016924749,739507817,894646941,344,321885586,66,100860,4525814361,4738759885,3005043759,3089783295,-,124642519,227838946,11939695,7165003,31554362
4091199,Angel of D3ath,307133,-I-,25,167,160014962,27020,822669926,Wilderburg,11476354,174981702,99407539,31734406,18820467,10052550,2484228,484865293,799,110617,176627,948,1564957334,1503720599,1213105610,1817652953,80,230000552,54,114009,8647364236,8004024052,6098303848,5391330936,-,295490049,440686264,23139305,10986744,51838190
3945360,Erkoz,185887,DGEN,25,85,154966800,27020,551118965,League of Order,4884831,155834434,95641802,31732531,18820467,8772000,1007218,332211587,53,66527,126110,248,349955190,323501073,221525330,911012819,26,560156928,120,89593,3883726903,3076128051,2666914934,1915744295,-,158621688,309508611,27414941,13876715,41658917
1181747,Blackhart147,307133,-I-,25,167,153627049,27020,251889422,League of Order,3641621,163719167,94141201,31732531,18820467,8932850,1091090,362517362,98,82595,94579,516,1905867303,1658184948,1520264489,1902188912,1231,78994464,32,131987,5656417418,5317454307,3415698233,3366118474,-,105433123,123351479,2607197,907898,19494770
1279254,ₜᵣₐₛₕChez ᴱᴳᴼ,309764,DTF,25,148,153308121,27020,811559011,Wilderburg,8353623,155806627,95076788,31734406,18820467,7676460,2083516,399432317,996,86668,132421,1010,283515151,332599621,157096263,2136943356,94,4356619741,909,82893,8038055816,7101580040,5082185938,3497210835,-,187308620,421771397,75333807,25904547,100579118
2956576,meXx,307133,-I-,25,167,147467730,27020,784548325,League of Order,1725709,147467730,87712212,31732531,18820467,9202520,1647025,394764276,234,73499,165791,536,1484848519,1382853104,1249506324,2432062416,245,832914591,221,207187,13108868825,12448327379,10821750531,9434347054,-,232520904,530758528,2814756,1408442,16676463
1355903,ₜᵣₐₛₕSurgemanₜᵣₐₛₕ,309764,DTF,25,148,145964423,27020,549874598,League of Order,9171116,158141003,85643900,31734406,18820467,9765650,3770612,430214403,1124,115306,155675,747,1150379231,1098393698,559855031,3867601061,20,195163747,45,87437,11328871187,11272397430,7688183925,7609570481,-,211879327,300062442,7028154,3083530,26402099
