lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
4446697,Redarmʷᴬᵒ,339030,wAo,25,92,507177835,92,3328542730,League of Order,112207489,508379389,443697501,31734406,18680998,13064930,47316314,1928325066,4187,804895,483539,2986,589706797,277359626,253901674,1180138502,2540,1090338985,228,88841,106030917850,86832990407,57752822692,63316358882,-,1753777580,1306792154,84599533,36409277,143665462
1185058,Melatonin ʚïɞ,339030,wAo,25,92,464343088,92,1842221993,Springwardens,60764054,464343088,401946039,31732531,18641248,12023270,5067822,1201273395,229,411508,297733,315,437685661,439070055,362922771,3018474793,53,4671487844,953,126925,21390080203,20552914824,10616388598,11331523388,-,881888097,731982201,23680151,10143232,194292819
6853139,XFTManiacʷᴬᵒ,339030,wAo,25,92,384139156,92,1580258767,League of Order,89161703,384161236,320440542,31734406,18680998,13283210,15135105,1167083251,1061,434374,324453,415,306450611,172490732,172103260,720481030,41,489430058,99,102717,49824085235,43543826853,23936486528,29909435604,-,969040055,488816273,27273926,10731236,80183299
10164187,籵GENTLEMAN,339030,wAo,25,92,325959251,92,2021538805,League of Order,117629541,325959251,262556157,31734406,18680998,12987690,18989273,1433090480,1186,684900,416448,908,406117109,211344377,361068570,8172138462,55,4827782996,971,139571,61941955865,67859234886,28212561682,36049900082,-,1167493138,673705465,35951833,16269939,126999598
11537218,大老BAO,339030,wAo,25,92,281023217,92,2199829949,League of Order,50345881,281023217,218663053,31734406,18680998,11944760,6956332,1106727965,927,247279,375017,907,806917077,507380119,219641593,7807977988,209,23899958121,4828,105344,18774375566,17448080789,13572214576,6324683861,-,820717546,1096884897,93724928,36569115,151424305
10078833,카이레이ray,339030,wAo,25,92,280729160,92,1048954268,Springwardens,35935478,280729160,217721936,31734406,18680998,12591820,10242299,870204274,455,308747,341354,608,1525093632,1403252482,920789973,4246289411,3640,4422271959,898,142119,35970074499,40655416416,27204454132,24753003987,-,646853076,350475359,8365953,4483344,38598639
10674190,ᵘˡᵗᶦᵐᵃᵗᵉˡʸEZ,339030,wAo,25,92,277654217,92,1837910728,Springwardens,34996818,277654217,213826873,31734406,18680998,13411940,20677089,1105891297,2550,236899,492336,2091,354799616,257436729,138383217,1360229757,954,18384692241,3704,136651,48227816332,48055746070,34828402602,27640405962,-,970957348,648760028,34994285,22258343,159258145
3514310,ムᴮˡᵒˢˢᵒᵐHAM411,339030,wAo,25,92,275843453,92,2174458822,League of Order,58402482,275857103,212622514,31732531,18680998,12807410,9922041,1585986671,1201,622784,490849,1268,2871723370,3163967896,1950472540,6890890156,263,3338717244,678,179638,85819890022,74854707860,57330814210,54197490889,-,1200933462,890008582,11112423,10481605,61501988
2790251,ˣˡˡˡRegi OnlyInf,369276,-I-,25,509,267988231,509,993728468,League of Order,42384297,267988231,206965627,31734406,18680998,10607200,2421646,891172823,161,411787,224402,792,2753618380,2521861068,1631476127,9930538320,465,742721035,184,117066,20241911549,20096465461,6292105584,11101864503,-,493081091,435338204,8497151,4084838,52585842
1257530,CUAlma,339030,wAo,25,92,264582136,92,1790903762,Springwardens,71827791,264582136,201287892,31734406,18680998,12878840,10865699,980123966,1425,334953,245709,1276,401345613,256915711,415214390,3441128521,5835,1153070183,270,141863,23283351345,21653489933,9748659138,12694931417,-,797168590,776101600,36683668,16339546,163432063
