lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
1645863,Điablø,306480,-I-,25,509,420113107,24071,2063819358,League of Order,18004251,454053047,356127943,31734406,18680998,13569760,10374026,1057586576,1338,329149,482986,1626,549058279,532054662,788939469,2003336671,148,1614809609,333,124236,33281422454,28345389551,22863923740,21059866723,-,1123341409,786131535,36646461,20658560,96140674
1338867,ᶠˢᵏKyle,183482,FSK,25,36,325167954,24071,3537425695,League of Order,24610062,511404724,263349695,31732531,18680998,11404730,4175985,1717215429,642,685691,348121,2513,381164248,241634083,160431954,4827473688,127,23854204141,4841,146952,44134432004,41535874356,25262903137,25172696049,-,906117225,2229981635,112664036,51092318,236714221
10808564,屮 차 태 식 屮,274856,FFA-,25,201,313211001,24071,1164471780,Wilderburg,12918184,345509507,250803947,31734406,18680998,11991650,6886039,1009632749,763,450514,254650,647,939290521,831716960,563667828,2708967355,590,505301805,114,88774,44204947565,45431860320,25591904967,28882449887,-,561987068,483083236,39409423,21528566,57883060
9806288,자태식,274856,FFA-,25,201,268807821,24071,910723877,League of Order,3984588,280641391,208155052,31732531,18680998,10239240,1996020,821175993,586,316585,235934,239,299590228,199647352,199232198,2467107702,111,6901835012,1389,69910,15989086899,15142702634,11394985916,8686072516,-,409515807,389692973,34739251,15832022,60490760
9672672,메이플 질린 권땡깡,274856,FFA-,25,201,266737355,24071,1324209304,League of Order,22230324,319844282,203817071,31734406,18680998,12504880,12820856,861450298,563,382657,251408,3014,459724331,277387834,247112811,1235554143,56,975251820,206,75517,37270317126,32900380630,16072167634,19346592002,-,671906953,515515615,19686812,8969784,107630634
3031907,ṈBP,306480,-I-,25,509,246330347,24071,1419588625,League of Order,5088993,246330347,184494858,31732531,18680998,11421960,8505729,878766704,1708,232328,429586,1058,635786625,1072189018,1032322021,5346500674,213,2819709986,647,183769,23506542743,21442029037,12374166293,13600118688,-,724843161,602573408,19954099,10630240,60982659
2790251,ˣˡˡˡReGi OnlyInf,306480,-I-,25,509,241933174,24071,913156133,League of Order,5944982,263944194,181368950,31734406,18680998,10148820,1295322,790825548,161,374014,207567,773,2753616601,2521857883,1631475026,9139026442,465,742721035,184,114966,19417539264,19239389486,6150672084,10733378650,-,430332759,420779678,8346854,3680657,49874843
9676210,Inner Peace,274856,FFA-,25,201,239455545,24071,1079265758,Springwardens,1786678,258289785,179684081,31734406,18680998,9356060,5052701,746531457,1318,267319,228611,656,808765588,424027617,370921656,3491815683,5231,3115880225,667,88858,7061569195,7303403653,3505836202,3726655145,-,457437792,545600173,22729667,11325867,41375217
1339417,ᶠˢᵏDebon,265786,FSK2,25,36,229799929,24071,3058907334,League of Order,7514466,229811929,169444895,31734406,18680998,9905410,723064,1115996620,798,155929,546249,3121,1276399240,766342924,310709415,3060093775,7018,2959332590,600,268814,11397345715,10811475129,5868989161,4823186337,-,706925599,1972747502,112219682,35269575,230238975
9749551,ᵒⁿᶠᶦʳᵉ 흑 곰 파 GOMPA,274856,FFA-,25,201,222671275,24071,1038247718,League of Order,12564970,247912975,161627341,31734406,18680998,10628530,3169574,742691423,548,363666,238909,504,980521146,1225333445,982878357,6620679542,3419,2477184308,497,149767,19706658590,22166313194,10081955047,11674984154,-,558722510,359900210,14028542,8739802,96568937
